,mse,psnr,ssim,method,img_id
93,2539.39377339681,14.083503105048305,0.8348288307104794,ucmr,357.0
94,951.9367167154948,18.344722827510516,0.9153668705804375,our,362.0
95,1933.7312316894531,15.266842492933943,0.842552881270858,ucmr,362.0
96,1149.6155853271484,17.52527717975824,0.908018348376765,our,365.0
97,2512.250473022461,14.130174241989824,0.829740770518788,ucmr,365.0
98,2044.847620646159,15.024194103720795,0.828815194716577,our,397.0
99,1351.9710998535156,16.821129527743437,0.8170563113663118,ucmr,397.0
100,1922.4079284667969,15.292348119348011,0.8295541232611375,our,398.0
101,1959.1449890136719,15.210137831689853,0.7514255017487906,ucmr,398.0
102,2232.7287241617837,14.642444012342148,0.8809777279714698,our,401.0
103,2414.9246215820312,14.301767814498964,0.788785553951964,ucmr,401.0
104,786.0737864176432,19.17617046978644,0.907439600875814,our,417.0
105,1753.4043629964192,15.69198277993203,0.8282267434642083,ucmr,417.0
106,1928.7495676676433,15.278045191445102,0.8770042570944345,our,420.0
107,2409.2998809814453,14.311895016956449,0.7982877081795623,ucmr,420.0
108,1588.7017822265625,16.12037978127693,0.8998021035949941,our,421.0
109,1820.4943237304688,15.528910317184524,0.8234140664532875,ucmr,421.0
110,909.5565490722656,18.542506556139994,0.8772157945223137,our,424.0
111,1102.9497680664062,17.70524627166016,0.8241459090485961,ucmr,424.0
112,1589.132095336914,16.119203617779036,0.8868498016611802,our,427.0
113,1844.2325286865234,15.472646830012726,0.7940364116623386,ucmr,427.0
114,660.1623382568359,19.934296163261816,0.9120652475413218,our,433.0
115,1611.7820129394531,16.05774056016172,0.8063369576557716,ucmr,433.0
116,1045.307861328125,17.93836144310587,0.9051733662088699,our,434.0
117,1630.3126322428386,16.00809467237635,0.8303981129367739,ucmr,434.0
118,2319.0119120279946,14.477773813913117,0.8219381527604686,our,436.0
119,2714.025894165039,13.794663739777429,0.7013090962880403,ucmr,436.0
120,1416.0333404541016,16.620068819458137,0.8761959551265996,our,451.0
121,2803.827143351237,13.653291251120674,0.7951039060481825,ucmr,451.0
122,801.8459879557291,19.089894003195038,0.9335815236941719,our,467.0
123,1899.1204376220703,15.345278533525342,0.8680909100244433,ucmr,467.0
124,938.3207804361979,18.407290263722402,0.9174723950041607,our,468.0
125,2547.5697123209634,14.069542838863745,0.8353551410485854,ucmr,468.0
126,807.8399810791016,19.057550176883673,0.9055670510932644,our,498.0
127,1168.3433634440105,17.45509864894292,0.8104267704606071,ucmr,498.0
128,1321.185267130534,16.921166387486146,0.8941905779774878,our,502.0
129,2713.4382832845054,13.79560412797927,0.7804113917838036,ucmr,502.0
130,7382.796844482422,9.448594429444517,0.66530325701049,our,513.0
131,7084.210006713867,9.62788933786755,0.47245225792980755,ucmr,513.0
132,2500.659133911133,14.15025863999644,0.889996290439468,our,516.0
133,2594.8624216715493,13.989660241527178,0.763160381846042,ucmr,516.0
134,1572.5831451416016,16.16466744256745,0.8795440305309485,our,528.0
135,1545.522481282552,16.240050341434827,0.7882599227636534,ucmr,528.0
136,1395.2177327473958,16.68438373507771,0.8874538438764713,our,533.0
137,1922.6504567464192,15.291800254097952,0.8059986980012165,ucmr,533.0
138,1215.7020365397136,17.282532166413013,0.7586239220893726,our,537.0
139,1924.9134012858074,15.286691647842702,0.6485517170419315,ucmr,537.0
140,3038.2313435872397,13.304595210915986,0.8668743185267097,our,541.0
141,2610.4730173746743,13.963611522948778,0.7441603821554296,ucmr,541.0
142,1310.2107442220051,16.95739204378922,0.865662336537126,our,542.0
143,1525.1741943359375,16.297609123860756,0.7780027301573839,ucmr,542.0
144,700.247060139974,19.678290666749348,0.8596230531926675,our,558.0
145,1433.9288991292317,16.5655274334462,0.7659072284176074,ucmr,558.0
146,1077.2275288899739,17.807729174538718,0.8407938523099582,our,559.0
147,1872.12451171875,15.407456313407508,0.7555111466610892,ucmr,559.0
148,1955.860366821289,15.217425145490646,0.841719703287963,our,584.0
149,1941.963150024414,15.248393762294437,0.7331509595838291,ucmr,584.0
150,1944.0262705485027,15.243782314108017,0.8109635339459654,our,590.0
151,3522.1881256103516,12.662678122654631,0.6596103087133702,ucmr,590.0
152,1608.3362528483074,16.067035095586885,0.8889764495027727,our,592.0
153,1805.3997701009114,15.565069780471173,0.8052868754821466,ucmr,592.0
154,928.7937672932943,18.451610684776295,0.8825910709440867,our,593.0
155,1287.9455668131511,17.03182852294606,0.8184230417995542,ucmr,593.0
156,535.3568216959635,20.84437019895536,0.8951356226619954,our,594.0
157,763.8671366373698,19.300625348094126,0.8288060903310502,ucmr,594.0
158,1814.73876953125,15.542662434055789,0.8579938491645995,our,600.0
159,1394.7832285563152,16.685736442669516,0.8420761110504005,ucmr,600.0
160,1153.7947591145833,17.509517989384424,0.8728537687757411,our,605.0
161,1553.5941263834636,16.21742790222153,0.7710475020854006,ucmr,605.0
162,1523.598373413086,16.302098605296308,0.8413030727243417,our,619.0
163,2416.0413106282554,14.299760050808556,0.7452891480168052,ucmr,619.0
164,1739.6690928141277,15.726137130633713,0.9056208913312954,our,624.0
165,1716.3892262776692,15.784645810518128,0.8329612933366598,ucmr,624.0
166,1384.7966003417969,16.716943721867445,0.9146735359463092,our,631.0
167,1352.3029886881511,16.820063530100505,0.8422853113681289,ucmr,631.0
168,2270.2737172444663,14.570021394798422,0.8642849015733481,our,641.0
169,2932.5741526285806,13.458313584366081,0.7473309148241816,ucmr,641.0
170,4724.091908772786,11.387620225012485,0.7689781364937248,our,643.0
171,5590.828531901042,10.6560418801384,0.6301981421968327,ucmr,643.0
172,1377.0261993408203,16.741381576328415,0.8772577312888762,our,653.0
173,1683.053990681966,15.869823129377455,0.7837361108841367,ucmr,653.0
174,2439.737864176432,14.257371944707447,0.8491298467924996,our,655.0
175,3324.2057749430337,12.913924612323047,0.7318899311204922,ucmr,655.0
176,1836.1617940266926,15.491694143092559,0.8441323440905865,our,657.0
177,2101.6673533121743,14.905163827880807,0.7563779529102356,ucmr,657.0
178,2009.2726338704426,15.100414916397211,0.8748754408103396,our,660.0
179,1826.1649220784504,15.51540364496421,0.7955437724554497,ucmr,660.0
180,2278.0391387939453,14.555191794846973,0.8592459577610109,our,662.0
181,2562.422103881836,14.044296888991159,0.7420297837473657,ucmr,662.0
182,2570.2679697672525,14.031019567100033,0.8533825843579615,our,666.0
183,2868.1610565185547,13.554768261478102,0.7623181800906224,ucmr,666.0
184,1122.5158233642578,17.62887889186895,0.8888128220946846,our,668.0
185,1924.990234375,15.286518302274468,0.8178981300472721,ucmr,668.0
186,1800.9115091959636,15.575879873110445,0.8969421551907785,our,675.0
187,2013.6653798421223,15.090930573921126,0.8221287726445241,ucmr,675.0
188,749.2436167399088,19.384573092521542,0.9284356512390487,our,690.0
189,1362.4493967692058,16.787599799097023,0.8673245205157368,ucmr,690.0
190,1429.3423411051433,16.579441019532805,0.9021046265100456,our,692.0
191,2388.299514770508,14.349915704644845,0.8157037586999815,ucmr,692.0
192,1652.3816019694011,15.949700100799735,0.826546220195401,our,702.0
193,2035.6650899251301,15.043740319780248,0.7336812619310136,ucmr,702.0
194,2844.701115926107,13.59043717737109,0.8294426555856154,our,748.0
195,2996.884780883789,13.364103146150503,0.7133395075398005,ucmr,748.0
196,4120.31315612793,11.981501359003282,0.7417670812402196,our,766.0
197,6241.818211873372,10.17769244845218,0.5268570602884124,ucmr,766.0
198,1149.6242268880208,17.525244534340555,0.9293102614465591,our,769.0
199,1221.4014994303386,17.26221912054369,0.8802880775091255,ucmr,769.0
200,1591.0509847005208,16.113962641758725,0.8834901822257683,our,771.0
201,2658.4665171305337,13.884491660379199,0.78407452618032,ucmr,771.0
202,2822.004592895508,13.625226446219585,0.8199111540481696,our,798.0
203,3972.7491302490234,12.139892196203663,0.6673399440443624,ucmr,798.0
204,3146.782196044922,13.15213676527713,0.8008861502742274,our,801.0
205,3528.9551137288413,12.654342264478256,0.7307002855484069,ucmr,801.0
206,1645.5929260253906,15.967579490958887,0.8659169830677355,our,806.0
207,1602.2919108072917,16.0833872071523,0.7639466806757064,ucmr,806.0
208,714.1627146402994,19.592831882800745,0.9223347954528404,our,821.0
209,1220.946304321289,17.263837962266685,0.8555276690367476,ucmr,821.0
210,801.3627624511719,19.09251203002961,0.9099239104971547,our,823.0
211,853.6480967203776,18.818014844985903,0.848999247962927,ucmr,823.0
212,922.7827707926432,18.47980883622599,0.8983663833718482,our,824.0
213,1455.0274861653645,16.50209163437945,0.8036857994153904,ucmr,824.0
214,1671.4346364339192,15.899909632424126,0.8541379410598368,our,844.0
215,1935.9824523925781,15.26178944292029,0.7593765022667878,ucmr,844.0
216,1301.1253407796223,16.987612255769314,0.9057787006868372,our,846.0
217,2134.829132080078,14.837172402723828,0.8331553344498338,ucmr,846.0
218,1398.9086354573567,16.672910097873984,0.8659044719305088,our,909.0
219,2153.8026275634766,14.798744584182453,0.7896708968031353,ucmr,909.0
220,1775.2053680419922,15.63831758379261,0.8968690050954454,our,912.0
221,1326.9545033772786,16.902243281850286,0.8491629801264821,ucmr,912.0
222,1368.8138783772786,16.767359610092424,0.8755498437867594,our,919.0
223,1962.0540517171223,15.203693934819121,0.7836526721359517,ucmr,919.0
224,2355.9859924316406,14.409076568529006,0.8591846660529453,our,923.0
225,2342.747568766276,14.433548650144164,0.7651014920978453,ucmr,923.0
226,6009.035313924153,10.342756045835236,0.6432527727710915,our,930.0
227,6404.575098673503,10.065900384066534,0.5616873419791132,ucmr,930.0
228,1257.165771484375,17.136878127808977,0.8881948092584772,our,932.0
229,1956.0403900146484,15.217025426354576,0.7759076342289153,ucmr,932.0
230,1081.639180501302,17.789979504218614,0.8930833738774339,our,936.0
231,1823.3513590494792,15.52209995782282,0.7769093917097597,ucmr,936.0
232,2633.668858846029,13.925191922985555,0.8246950858282674,our,942.0
233,3432.5924936930337,12.774581124218148,0.7253443238269054,ucmr,942.0
234,1590.0720672607422,16.116635524566526,0.8818344985273624,our,956.0
235,1862.639643351237,15.429515188765885,0.7684637330337317,ucmr,956.0
236,1305.9966735839844,16.97138290089621,0.8871103935820942,our,957.0
237,2980.994099934896,13.38719244401953,0.7787998834076836,ucmr,957.0
238,1764.0022633870442,15.665812228295511,0.8610470359234647,our,965.0
239,2388.2125295003257,14.350073883761745,0.8019756022436318,ucmr,965.0
240,1106.2361958821614,17.692324964520708,0.901301518562646,our,970.0
241,1750.5846761067708,15.698972383538264,0.7980576039615642,ucmr,970.0
242,1495.2739715576172,16.383595873147836,0.8980748803107558,our,985.0
243,1968.5596160888672,15.189317893177954,0.7984100495035115,ucmr,985.0
244,870.4767150878906,18.733232024669352,0.888634683046189,our,994.0
245,2020.6074523925781,15.075984104493848,0.8038524041227761,ucmr,994.0
246,959.8363749186198,18.308831565018735,0.8754176079806486,our,997.0
247,1281.674784342448,17.05302520773426,0.7705669306476536,ucmr,997.0
248,1937.5198771158855,15.258341942173228,0.8608971856579712,our,1001.0
249,1684.360143025716,15.866454046981644,0.7940939682160852,ucmr,1001.0
250,829.7869211832682,18.94113775521618,0.9142448686360579,our,1022.0
251,1215.5747934977214,17.282986750196855,0.8354193843167389,ucmr,1022.0
252,798.4255828857422,19.10845916846978,0.8983814447987273,our,1059.0
253,1505.3746693929036,16.354357568855058,0.8439710038191869,ucmr,1059.0
254,1619.30322265625,16.03752180677838,0.8731210942006716,our,1060.0
255,2597.617935180664,13.985050866654625,0.7781797295004806,ucmr,1060.0
256,1949.7460072835286,15.23102321207835,0.8488738350999357,our,1083.0
257,2783.3588511149087,13.685111584820806,0.767453395058817,ucmr,1083.0
258,1585.795166015625,16.12833271211769,0.8477486423173383,our,1095.0
259,2096.153335571289,14.916573123478393,0.7642327290804424,ucmr,1095.0
260,1621.0413106282551,16.032862783147134,0.8540642587976969,our,1096.0
261,2223.59743754069,14.660241959792524,0.8017390295707334,ucmr,1096.0
262,2275.8539530436196,14.559359719596195,0.8489667014333756,our,1100.0
263,1770.9419352213542,15.648760388796195,0.7791151931281898,ucmr,1100.0
264,2066.8475646972656,14.977719133901342,0.8284241132152358,our,1107.0
265,1501.1756032307942,16.366488631260253,0.7798553894601578,ucmr,1107.0
266,741.4505767822266,19.42998153509061,0.9033506452656362,our,1108.0
267,836.3942667643229,18.906693136724815,0.86434061647772,ucmr,1108.0
268,995.6889343261719,18.14956680281561,0.9153333344454143,our,1122.0
269,2334.467758178711,14.448924806913695,0.8366980965982318,ucmr,1122.0
270,2045.6588745117188,15.022471465791867,0.8621897848820779,our,1126.0
271,2759.1257680257163,13.723088636817,0.7494804533638657,ucmr,1126.0
272,1342.7186482747395,16.85095340233882,0.9161767070357373,our,1136.0
273,1395.931635538737,16.68216211230697,0.8660227968195365,ucmr,1136.0
274,1123.763900756836,17.624052839489615,0.8807096974076226,our,1137.0
275,1246.1681416829426,17.175037165556162,0.806857587968525,ucmr,1137.0
276,2572.811696370443,14.02672359430152,0.8147914743392296,our,1154.0
277,2685.762537638346,13.840127490922733,0.7715865746958223,ucmr,1154.0
278,1854.043177286784,15.449605170146391,0.8723533153309502,our,1163.0
279,2283.0047912597656,14.545735379385626,0.8006414197517252,ucmr,1163.0
280,832.8691457112631,18.925035872637626,0.8902151551127493,our,1167.0
281,1311.7742869059246,16.952212471577532,0.8207492388878337,ucmr,1167.0
282,640.5691680908203,20.065143295221013,0.9171637512540136,our,1169.0
283,1281.9695536295574,17.05202649918882,0.8356648941026954,ucmr,1169.0
284,1859.7679138183594,15.436216102182371,0.8522319459856352,our,1172.0
285,2515.29519144694,14.12491400305574,0.7341483028087001,ucmr,1172.0
286,4087.922520955404,12.015777049155211,0.7736459266600111,our,1176.0
287,2752.0265146891275,13.734277470283809,0.7049835102336973,ucmr,1176.0
288,1438.5401102701824,16.551583852038508,0.8717698841903075,our,1184.0
289,2070.177490234375,14.97072778828933,0.7754485204394893,ucmr,1184.0
290,1064.7424774169922,17.858357804741605,0.912734768890837,our,1185.0
291,1898.308100382487,15.347136599226625,0.8213434286810083,ucmr,1185.0
292,1222.0965677897136,17.259748364661263,0.9175444539522992,our,1189.0
293,1400.6156209309895,16.6676139518444,0.8558130661026556,ucmr,1189.0
294,2257.356043497721,14.594802969025372,0.8553747368247566,our,1193.0
295,2659.8778533935547,13.882186674004398,0.7323421708016525,ucmr,1193.0
296,761.930653889974,19.31164914467151,0.9262034927342041,our,1200.0
297,1371.874018351237,16.757661297063645,0.8476764697839797,ucmr,1200.0
298,717.0876719156901,19.575081046400882,0.9015689291182408,our,1214.0
299,1473.3506113688152,16.447742532216466,0.8359519264548273,ucmr,1214.0
300,1066.0782318115234,17.852912852604625,0.9180063061012236,our,1216.0
301,1887.2177836100261,15.372583405320661,0.8343938561602852,ucmr,1216.0
302,593.6769968668619,20.395301391733305,0.9230409234899394,our,1231.0
303,1386.0905456542969,16.712887596010685,0.831665341206136,ucmr,1231.0
304,790.1425730387369,19.153748985681485,0.9050777162918567,our,1232.0
305,1714.8982238769531,15.788420103201544,0.8152046878936416,ucmr,1232.0
306,1594.5689798990886,16.104370496178408,0.8496457030474804,our,1235.0
307,2235.261159261068,14.637520891494212,0.7391128313903047,ucmr,1235.0
308,809.406239827474,19.049138127617148,0.894397364558206,our,1237.0
309,1579.179951985677,16.146487389651327,0.8012658638925276,ucmr,1237.0
310,1170.3452860514324,17.447663506568215,0.880417838558424,our,1238.0
311,1436.3629048665364,16.558161802449774,0.802434639747344,ucmr,1238.0
312,850.7782491048177,18.832639826161852,0.9092792114231768,our,1239.0
313,1077.0825958251953,17.80831352522854,0.8347973191886947,ucmr,1239.0
314,2463.6168111165366,14.215072019206156,0.8314599709138214,our,1240.0
315,2301.9789530436196,14.509790123034174,0.7420788584331938,ucmr,1240.0
316,1334.9967142740886,16.876001640619894,0.8759518299390908,our,1242.0
317,2092.0475107828775,14.925088176532972,0.7556607454665714,ucmr,1242.0
318,742.9826507568359,19.421016881147928,0.9187823768675477,our,1256.0
319,1387.0978444417317,16.709732640322773,0.8610196036929404,ucmr,1256.0
320,2128.6630655924478,14.849734360825424,0.8715687904404928,our,1283.0
321,1590.6585489908855,16.115033969372107,0.7909166289618351,ucmr,1283.0
322,845.1749318440756,18.861337536083674,0.9119453600682368,our,1325.0
323,985.6643371582031,18.193513174671367,0.8429974165289341,ucmr,1325.0
324,971.8987782796224,18.25459324669736,0.9011781669239238,our,1332.0
325,1713.2980499267578,15.792474402965158,0.7993754350525794,ucmr,1332.0
326,1826.8343658447266,15.513811880422377,0.8483932564903353,our,1333.0
327,1603.6272989908855,16.079769201114576,0.7556436681835326,ucmr,1333.0
328,2469.156778971354,14.2053169455669,0.8241776523801949,our,1352.0
329,3593.055414835612,12.576164455915283,0.6287785960206712,ucmr,1352.0
330,2627.8355102539062,13.93482183855668,0.8009262680121297,our,1353.0
331,3237.547388712565,13.028642268656295,0.6717347731948631,ucmr,1353.0
332,3179.531265258789,13.107172609829039,0.7636085578275812,our,1358.0
333,4642.614390055339,11.463177476789701,0.5717339975789032,ucmr,1358.0
334,3653.5518747965493,12.503650828316854,0.8174794953524364,our,1383.0
335,3491.1779174804688,12.701083789654797,0.7323541254757844,ucmr,1383.0
336,3132.0435638427734,13.172525668035405,0.818115874677155,our,1387.0
337,2631.234893798828,13.929207410121169,0.7296465851168649,ucmr,1387.0
338,3484.9544118245444,12.708832595881251,0.8099803108676694,our,1389.0
339,2165.3577321370444,14.775507057863573,0.7353023283119104,ucmr,1389.0
340,3177.565892537435,13.109857956721731,0.8049533594257144,our,1394.0
341,3434.8696645100913,12.771700983829565,0.6938488847743147,ucmr,1394.0
342,3288.8061726888022,12.960420819769812,0.8264572560711937,our,1398.0
343,3941.7542622884116,12.173908149627227,0.7001497983294955,ucmr,1398.0
344,1077.2433420817058,17.80766542262633,0.8941490724185811,our,1407.0
345,1140.5412902832031,17.559693484866727,0.8532068273160411,ucmr,1407.0
346,950.1999104817709,18.352653756995572,0.9046293379994547,our,1412.0
347,1643.5897572835286,15.972869347572104,0.8111127360762582,ucmr,1412.0
348,957.4355061848959,18.319708317534776,0.8717027954426665,our,1416.0
349,1209.2805430094402,17.30553295617469,0.788765744887607,ucmr,1416.0
350,1593.1124165852864,16.10833938374948,0.8916415398768588,our,1419.0
351,2157.4872843424478,14.79132116089554,0.8034763104194792,ucmr,1419.0
352,1911.3946990966797,15.317299836297513,0.8733916482028566,our,1423.0
353,1478.3704427083333,16.432970898226362,0.8254366131763172,ucmr,1423.0
354,1991.894551595052,15.138140171780996,0.8093029233717631,our,1425.0
355,3129.549387613932,13.175985512962301,0.6621005049115772,ucmr,1425.0
356,1695.8574676513672,15.836910127194674,0.8788559716622067,our,1427.0
357,2462.3707478841147,14.217269176186374,0.7702915337676148,ucmr,1427.0
358,683.1986745198568,19.785333457649337,0.9316303690428335,our,1437.0
359,1156.1121266682942,17.500804042645214,0.8332138952422463,ucmr,1437.0
360,4176.868835449219,11.922295233655438,0.7581324258959841,our,1443.0
361,5353.865407307942,10.84412911760402,0.5806594701253762,ucmr,1443.0
362,2011.5922139485676,15.095404148922347,0.8740322636261552,our,1448.0
363,2053.0317738850913,15.006846900573862,0.789566754229014,ucmr,1448.0
364,1696.2919260660808,15.835797659132343,0.8825164807606436,our,1450.0
365,2692.1809743245444,13.829761101046955,0.7893767315964878,ucmr,1450.0
366,1196.8635660807292,17.350357141167517,0.8721965225468203,our,1454.0
367,2153.4516805013022,14.799452294301144,0.7903182397275447,ucmr,1454.0
368,1138.763442993164,17.566468440519124,0.8840888036690181,our,1457.0
369,1198.1768544514973,17.34559434931778,0.824219957393714,ucmr,1457.0
370,930.5077006022135,18.44360389295579,0.8908700639031641,our,1460.0
371,1174.4622802734375,17.432412875892457,0.8026557599546776,ucmr,1460.0
372,2300.190760294596,14.51316506281665,0.8487426387772459,our,1462.0
373,2189.561711629232,14.72723170808889,0.75326415002889,ucmr,1462.0
374,1319.3901875813801,16.927071109969848,0.8710582998213138,our,1465.0
375,1387.6097157796223,16.70813028839784,0.7974499487333221,ucmr,1465.0
376,2297.3352406819663,14.518559862410758,0.8301175037846164,our,1466.0
377,2238.3121185302734,14.631597148221086,0.7415914202278615,ucmr,1466.0
378,1012.4981231689453,18.0768613401639,0.8529672706656265,our,1470.0
379,1478.673324584961,16.432081226388544,0.7321752084335617,ucmr,1470.0
380,1807.9195709228516,15.559012547956804,0.8150489834931102,our,1474.0
381,2531.9853006998696,14.096191807877842,0.6712013662150054,ucmr,1474.0
382,1129.9409434000652,17.60024615283347,0.8817099236071515,our,1477.0
383,1541.5151062011719,16.251325758808512,0.8008365365697014,ucmr,1477.0
384,1977.6949666341145,15.16921052637732,0.8494394496504075,our,1480.0
385,3072.818349202474,13.25543473332247,0.7062887897930302,ucmr,1480.0
